"","Run_Pos","SampleID","Chloride","Sulfate","Nitrate","Chloride_DilF","Sulfate_DilF","Nitrate_DilF","Chloride_Note","Sulfate_Note","Nitrate_Note"
"1","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"2","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"3","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"4","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"5","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"6","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"7","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"8","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"9","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"10","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"11","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"12","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"13","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"14","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"15","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"16","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"17","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"18","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"19","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"20","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"21","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"22","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"23","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"24","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"25","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"26","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"27","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"28","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"29","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"30","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"31","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"32","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"33","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"34","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"35","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"36","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"37","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"38","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"39","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"40","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"41","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"42","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"43","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"44","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"45","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"46","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"47","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"48","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"49","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"50","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"51","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"52","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"53","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"54","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"55","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"56","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"57","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"58","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"59","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"60","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"61","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"62","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"63","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"64","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"65","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"66","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"67","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"68","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"69","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"70","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"71","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"72","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"73","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"74","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"75","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"76","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"77","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"78","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"79","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"80","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"81","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
